year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
2006,Germany,Dortmund,Round of 16,Brazil,Ghana,3,0,H,no win conditions,Brazil,Ghana,2006-06-27,Jun,Tuesday,2000s,June
2006,Germany,Hanover,Round of 16,Spain,France,1,3,A,no win conditions,France,Spain,2006-06-27,Jun,Tuesday,2000s,June
2006,Germany,Berlin,Quarterfinals,Germany,Argentina,1,1,H,Germany won in penalties (4 - 2),Germany,Argentina,2006-06-30,Jun,Friday,2000s,June
2006,Germany,Hamburg,Quarterfinals,Italy,Ukraine,3,0,H,no win conditions,Italy,Ukraine,2006-06-30,Jun,Friday,2000s,June
2006,Germany,Frankfurt am Main,Quarterfinals,Brazil,France,0,1,A,no win conditions,France,Brazil,2006-07-01,Jul,Saturday,2000s,July
2006,Germany,Gelsenkirchen,Quarterfinals,England,Portugal,0,0,A,Portugal won in penalties (3 - 1),Portagul,England,2006-07-01,Jul,Saturday,2000s,July
2006,Germany,Dortmund,Semifinals,Germany,Italy,0,2,A,Italy won in AET,Italy,Germany,2006-07-04,Jul,Tuesday,2000s,July
2006,Germany,Munich,Semifinals,Portugal,France,0,1,A,no win conditions,France,Portugal,2006-07-05,Jul,Wednesday,2000s,July
2006,Germany,Stuttgart,Third place,Germany,Portugal,3,1,H,no win conditions,Germany,Portugal,2006-07-08,Jul,Saturday,2000s,July
2006,Germany,Berlin,Final,Italy,France,1,1,H,Italy won in penalties (5 - 3),Italy,France,2006-07-09,Jul,Sunday,2000s,July
2010,South Africa,Johannesburg,Group A,South Africa,Mexico,1,1,D,no win conditions,Draw match,Draw match,2010-06-11,Jun,Friday,2010s,June
2010,South Africa,Cape Town,Group A,Uruguay,France,0,0,D,no win conditions,Draw match,Draw match,2010-06-11,Jun,Friday,2010s,June
2010,South Africa,Johannesburg,Group B,Argentina,Nigeria,1,0,H,no win conditions,Argentina,Nigeria,2010-06-12,Jun,Saturday,2010s,June
2010,South Africa,Rustenburg,Group C,England,United States,1,1,D,no win conditions,Draw match,Draw match,2010-06-12,Jun,Saturday,2010s,June
2010,South Africa,Port Elizabeth,Group B,South Korea,Greece,2,0,H,no win conditions,South Korea,Greece,2010-06-12,Jun,Saturday,2010s,June
2010,South Africa,Polokwane,Group C,Algeria,Slovenia,0,1,A,no win conditions,Slovenia,Algeria,2010-06-13,Jun,Sunday,2010s,June
2010,South Africa,Durban,Group D,Germany,Australia,4,0,H,no win conditions,Germany,Australia,2010-06-13,Jun,Sunday,2010s,June
2010,South Africa,Pretoria,Group D,Serbia,Ghana,0,1,A,no win conditions,Ghana,Serbia,2010-06-13,Jun,Sunday,2010s,June
2010,South Africa,Cape Town,Group F,Italy,Paraguay,1,1,D,no win conditions,Draw match,Draw match,2010-06-14,Jun,Monday,2010s,June
2010,South Africa,Bloemfontein,Group E,Japan,Cameroon,1,0,H,no win conditions,Japan,Cameroon,2010-06-14,Jun,Monday,2010s,June
2010,South Africa,Johannesburg,Group E,Netherlands,Denmark,2,0,H,no win conditions,Netherlands,Denmark,2010-06-14,Jun,Monday,2010s,June
2010,South Africa,Johannesburg,Group G,Brazil,North Korea,2,1,H,no win conditions,Brazil,North Korea,2010-06-15,Jun,Tuesday,2010s,June
2010,South Africa,Port Elizabeth,Group G,Ivory Coast,Portugal,0,0,D,no win conditions,Draw match,Draw match,2010-06-15,Jun,Tuesday,2010s,June
2010,South Africa,Rustenburg,Group F,New Zealand,Slovakia,1,1,D,no win conditions,Draw match,Draw match,2010-06-15,Jun,Tuesday,2010s,June
2010,South Africa,Nelspruit,Group H,Honduras,Chile,0,1,A,no win conditions,Chile,Honduras,2010-06-16,Jun,Wednesday,2010s,June
2010,South Africa,Pretoria,Group A,South Africa,Uruguay,0,3,A,no win conditions,Uruguay,South Africa,2010-06-16,Jun,Wednesday,2010s,June
2010,South Africa,Durban,Group H,Spain,Switzerland,0,1,A,no win conditions,Switzerland,Spain,2010-06-16,Jun,Wednesday,2010s,June
2010,South Africa,Johannesburg,Group B,Argentina,South Korea,4,1,H,no win conditions,Argentina,South Korea,2010-06-17,Jun,Thursday,2010s,June
2010,South Africa,Polokwane,Group A,France,Mexico,0,2,A,no win conditions,Mexico,France,2010-06-17,Jun,Thursday,2010s,June
2010,South Africa,Bloemfontein,Group B,Greece,Nigeria,2,1,H,no win conditions,Greece,Nigeria,2010-06-17,Jun,Thursday,2010s,June
2010,South Africa,Cape Town,Group C,England,Algeria,0,0,D,no win conditions,Draw match,Draw match,2010-06-18,Jun,Friday,2010s,June
